screen_name,following,followers,favourites_count,verified
gustavoparedesa,1330,516,4706,False
Its_Gabbs_,449,150,611,False
KenoEstefano_,408,850,2241,False
Bee_Vinyl,1222,1138,2221,False
henryorh,216,34,242,False
Patrici36670403,12,1,15,False
JOSECAS77077456,820,321,101,False
comandato,6537,28435,1692,True
Lauraamatc,194,467,3347,False
Mozzafiato300,158,79,196,False
williamlucasm,1181,1901,6660,False
Cori6171,106,44,216,False
saplazat,895,692,9496,False
cevichesdonfish,1021,3679,373,False
franciscopalmah,886,539,299,False
ma_belensoto,163,158,3309,False
Rainierito7,738,627,339,False
xavierletamendi,856,1039,1356,False
PedroCSE73,605,509,7211,False
karenguzcas,657,122,98,False
carlosbravodrum,255,388,40,False
DanielitaHill,604,772,943,False
skrrapy,191,277,262,False
ATMGuayaquil,51,170962,1982,False
Luis811g,2459,7596,1699,False
canchaecuador,1174,13502,4929,False
maaaaariuxi,296,655,8547,False
tepartolapata,436,126,123,False
nicolepaulinamc,197,490,5628,False
amigosdebacilos,4,35,1233,False
uteg_ec,356,2836,288,False
AnitabellaBsc,341,113,5184,False
luifer182,301,232,53,False
josefrank1991,457,111,7,False
ImStefaniePam,356,292,570,False
DanyelaStark,873,466,5098,False
roboamgavilanez,1083,820,3094,False
linaec8,867,5809,2875,False
japico83,627,1311,872,False
KarenServigon,583,545,1814,False
CarlosArguelloR,112,184,424,False
SusanaFloresN,349,87,5163,False
ronnyleon03,407,31,9018,False
migueel_amc,326,405,5875,False
daycbsc,585,842,15067,False
DocNelson1,145,221,172,False
tigregalvez,4227,7796,6338,False
SergioMoreiraRe,714,205,483,False
MariuxiVB,419,254,803,False
plumasyboligraf,4582,1166,2220,False
AVAstudillo,7302,56043,119631,False
enlineaok,6248,6636,230,False
ronnyalvarez84,156,154,886,False
GuayaquilEC,3,985,0,False
darwinmcay,3221,918,4606,False
Jcpalma_,564,175719,574,False
priscyosa,208,195,54,False
zipi1969,878,381,1282,False
beethovenvilla,585,872,3627,False
Pancho121068,257,32,117,False
EddyShadyCSE,651,954,787,False
_nalacan,54,28,746,False
DentistsFriends,39,23,32,False
artemio159159,224,38,10,False
OrlandoALR,175,217,2080,False
JulioCesarUV,780,2773,110118,False
raulbalarezos,366,703,7292,False
osotony78,783,115,445,False
Duendemilenario,1223,750,41,False
mariodavid1964,2732,975,308,False
Monett26,709,327,512,False
kiwiwong22,2657,571,636,False
HRNETSA,17133,38293,1522,False
el_ChicoUrbano,2455,2142,3706,False
mcelleriv,1085,384,3887,False
_arianazambrano,165,586,0,False
oswaldob26,522,251,1451,False
